file	sample	group	batch
/path/to/OE_1.rsem.genes.results	OE_1	OE	g1
/path/to/OE_2.rsem.genes.results	OE_2	OE	g1
/path/to/OE_3.rsem.genes.results	OE_3	OE	g2
/path/to/OE_4.rsem.genes.results	OE_4	OE	g2
/path/to/OE_5.rsem.genes.results	OE_5	OE	g3
/path/to/OE_6.rsem.genes.results	OE_6	OE	g3
/path/to/PC_1.rsem.genes.results	PC_1	PC	g1
/path/to/PC_2.rsem.genes.results	PC_2	PC	g1
/path/to/PC_3.rsem.genes.results	PC_3	PC	g2
/path/to/PC_4.rsem.genes.results	PC_4	PC	g2
/path/to/PC_5.rsem.genes.results	PC_5	PC	g3
/path/to/PC_6.rsem.genes.results	PC_6	PC	g3
