primerid	coef	ci.hi	ci.lo	P	celltype	FDR
AAAS	0.001660544	0.001886611	0.001434478	0.000222763	OPC	0.00164125
AADAT	-0.001551345	0.001551998	-0.004654689	0.162489506	OPC	0.266195592
AAGAB	-0.005131387	-0.000372185	-0.009890588	0.001389989	OPC	0.007295842
AAK1	-0.008146863	-0.001367461	-0.014926266	0.000165424	OPC	0.001271493
AAMDC	-0.002312369	0.001326567	-0.005951305	0.178155477	OPC	0.283616974
AAMP	-0.000934943	0.001593565	-0.003463451	0.072953203	OPC	0.149349613
AASDH	5.82549E-05	0.003166847	-0.003050337	0.251505178	OPC	0.365016831
AASDHPPT	0.001263108	0.003992515	-0.001466298	0.023934191	OPC	0.06569111
AASS	-0.002780174	0.002457142	-0.00801749	1.82237E-05	OPC	0.000190565
AATF	-0.000895602	0.002507122	-0.004298327	0.86047902	OPC	0.892401054
AATK	-0.0052257	-0.000115046	-0.010336353	0.001135214	OPC	0.006215918
ABAT	-0.008455036	-0.002173471	-0.014736601	0.013204687	OPC	0.042357246
ABCA1	0.006836891	0.008482328	0.005191453	5.95212E-06	OPC	7.16425E-05
ABCA10	-0.003437732	0.000698068	-0.007573531	0.045352252	OPC	0.105725341
ABCA2	-0.004476901	0.000593208	-0.009547009	0.142841309	OPC	0.241836092
ABCA3	-0.002972614	0.001209691	-0.007154918	0.086994966	OPC	0.169087777
ABCA5	-0.011384818	-0.004758577	-0.018011059	0.000274864	OPC	0.001942544
ABCB10	-0.00189944	0.001334323	-0.005133203	0.00583579	OPC	0.022666403
ABCB7	0.00148918	0.003958446	-0.000980087	0.082063449	OPC	0.161632356
ABCB8	0.000413202	0.00205948	-0.001233077	0.299252564	OPC	0.413290443
ABCC10	-0.002803251	0.001026682	-0.006633183	0.058110153	OPC	0.127090753
ABCC4	-0.005528178	-0.000450912	-0.010605444	0.00810219	OPC	0.028999732
ABCC5	0.001197606	0.005420095	-0.003024884	0.502845957	OPC	0.600660066
ABCC8	-0.007136977	-0.001113903	-0.01316005	0.021743495	OPC	0.061354356
ABCD3	0.000520648	0.004761223	-0.003719927	0.309521425	OPC	0.424009493
ABCD4	0.002768287	0.004635928	0.000900646	0.065909922	OPC	0.139187783
ABCE1	-0.001187578	0.001836626	-0.004211783	0.022793075	OPC	0.063506214
ABCG1	-0.007141722	-0.001506814	-0.012776631	0.003651064	OPC	0.015790911
ABHD10	-0.000184687	0.001981786	-0.002351161	0.411029816	OPC	0.518593215
ABHD12	-0.007179994	-0.001449541	-0.012910447	0.016362628	OPC	0.049624717
ABHD13	0.000615055	0.002371853	-0.001141744	0.467898075	OPC	0.571115732
ABHD17A	0.003098826	0.00432574	0.001871913	0.005140224	OPC	0.020719285
ABHD17B	-0.005206384	-0.000267381	-0.010145388	0.036400839	OPC	0.089714547
ABHD18	-0.004365906	0.000372322	-0.009104134	0.073248656	OPC	0.14986176
ABHD2	0.006552691	0.014232593	-0.001127211	0.124032767	OPC	0.218142865
ABHD3	0.000670048	0.002759082	-0.001418985	0.059113278	OPC	0.12875663
ABHD5	-0.001936957	0.001110697	-0.004984612	0.146227035	OPC	0.245946636
ABHD6	-0.005167282	-3.72014E-06	-0.010330844	0.02952816	OPC	0.076628403
ABI1	0.002633381	0.007440478	-0.002173715	0.025708577	OPC	0.069137923
ABI2	0.003693057	0.008510805	-0.001124692	0.207822465	OPC	0.317854213
ABL1	0.000283808	0.004577728	-0.004010112	0.600574239	OPC	0.686526167
ABL2	-0.00529373	0.000120098	-0.010707558	0.076093074	OPC	0.153733322
ABLIM1	0.006389139	0.008638322	0.004139956	0.000316426	OPC	0.002198179
ABLIM3	-0.009775221	-0.003373682	-0.016176759	0.000650519	OPC	0.004012501
ABR	0.000177453	0.003710406	-0.003355499	0.937302079	OPC	0.952038381
ABTB1	0.001889433	0.002491185	0.001287681	0.006528891	OPC	0.024707862
ABTB2	0.000478913	0.004470023	-0.003512196	0.927341647	OPC	0.94506242
ACAA1	0.00158329	0.002829844	0.000336736	0.019825419	OPC	0.057318444
ACACA	-0.012809994	-0.005782645	-0.019837344	0.000135553	OPC	0.001075274
ACACB	-0.010666071	-0.00403651	-0.017295631	0.000425788	OPC	0.002830288
ACAD10	-0.001337595	0.001724667	-0.004399857	0.296814792	OPC	0.410823908
ACAD9	0.000385114	0.002382573	-0.001612344	0.358915959	OPC	0.470968416
ACADM	-0.000897465	0.00234921	-0.004144141	0.714217192	OPC	0.779176678
ACADSB	-0.003908751	0.000419765	-0.008237266	0.022147024	OPC	0.062094556
ACADVL	0.004805544	0.006732952	0.002878136	0.001806461	OPC	0.008965064
ACAN	0.002128712	0.003509662	0.000747762	0.033530405	OPC	0.08416593
ACAP2	-0.00359439	0.002445605	-0.009634384	0.076271318	OPC	0.15396436
ACAP3	0.020026964	0.02361081	0.016443118	2.58178E-16	OPC	1.45524E-14
ACAT1	-0.002384604	0.001224879	-0.005994087	0.089235832	OPC	0.172380057
ACBD3	-0.002693972	0.001005604	-0.006393549	0.049038968	OPC	0.11224403
ACBD5	-0.000720746	0.001941889	-0.003383381	0.822675777	OPC	0.865232276
ACBD6	0.001886146	0.006884175	-0.003111882	0.40269123	OPC	0.511295462
ACER3	-0.004826921	0.001486638	-0.011140481	0.103657678	OPC	0.191642316
ACHE	0.001943464	0.002200348	0.001686581	5.62925E-05	OPC	0.000503582
ACIN1	0.005098102	0.008094655	0.002101549	0.020107069	OPC	0.057795318
ACLY	-6.85788E-05	0.002011724	-0.002148882	0.024203918	OPC	0.066273998
ACO1	-0.001327075	0.002042479	-0.00469663	0.075285503	OPC	0.152622283
ACO2	-0.000198181	0.002425906	-0.002822269	0.400387953	OPC	0.509150712
ACOT11	-0.000824264	0.002654717	-0.004303244	0.302786307	OPC	0.416925018
ACOT7	-0.003883116	0.000553176	-0.008319408	0.099666917	OPC	0.18608547
ACOX1	-0.002352352	0.001147417	-0.005852121	0.066296924	OPC	0.139749643
ACOX3	-0.000502033	0.002014823	-0.003018889	0.771115933	OPC	0.823751427
ACP1	-0.002060225	0.000931527	-0.005051978	0.163509312	OPC	0.26741712
ACP6	0.001788093	0.00290582	0.000670365	0.062209009	OPC	0.133900981
ACSL3	-0.022337513	-0.014659285	-0.030015741	8.79342E-13	OPC	3.50372E-11
ACSL4	-0.000741136	0.003518841	-0.005001113	0.195382407	OPC	0.302903897
ACSS1	0.001277747	0.004368711	-0.001813217	0.749051731	OPC	0.807145733
ACTB	0.023643832	0.026622446	0.020665218	3.1605E-22	OPC	2.88312E-20
