primerid	coef	ci.hi	ci.lo	P
AACS	-0.011109906	-0.006648503	0.006648503	2.42895E-09
AAGAB	-0.00505116	-0.001777159	0.001777159	1.65116E-05
AAK1	-0.015262584	-0.006079799	0.006079799	7.0127E-08
AASDH	-0.012788324	-0.009399224	0.009399224	1.10811E-16
AASDHPPT	0.008666928	0.012922503	-0.012922503	1.34866E-05
AATF	-0.014165192	-0.010820337	0.010820337	3.15242E-22
AATK	-0.003667682	0.001857807	-0.001857807	1.35076E-17
ABAT	-0.014988948	-0.01004634	0.01004634	9.75798E-09
ABCA10	-0.060841812	-0.054944578	0.054944578	4.05532E-91
ABCA2	0.094376121	0.099869864	-0.099869864	6.1018E-271
ABCA3	-0.01586455	-0.01037417	0.01037417	1.56613E-11
ABCA5	-0.062190271	-0.054260612	0.054260612	2.23858E-58
ABCA6	-0.003673271	-0.000199136	0.000199136	0.004511651
ABCA7	0.001632592	0.005293454	-0.005293454	1.65758E-12
ABCA9	-0.024441196	-0.020559325	0.020559325	2.59699E-35
ABCB10	-0.007763548	-0.005033383	0.005033383	7.52432E-12
ABCB7	-0.005209155	-0.002084902	0.002084902	7.52439E-09
ABCB8	0.006132341	0.008818823	-0.008818823	2.14928E-12
ABCB9	-0.037954104	-0.033667831	0.033667831	3.0051E-73
ABCC1	-0.012706305	-0.009118086	0.009118086	3.02078E-15
ABCC10	-0.000323052	0.002634335	-0.002634335	1.68993E-11
ABCC5	-0.024671673	-0.018340095	0.018340095	9.25587E-18
ABCC8	-0.047862961	-0.043039933	0.043039933	3.29003E-85
ABCD2	-0.01481377	-0.011311363	0.011311363	1.22409E-19
ABCD3	-0.000899713	0.002815459	-0.002815459	5.70323E-05
ABCD4	-0.003573162	-0.000286047	0.000286047	1.23783E-07
ABCE1	0.01080123	0.013510433	-0.013510433	7.13135E-18
ABHD10	0.012046451	0.014944561	-0.014944561	4.85827E-20
ABHD12	-0.004028605	0.000999333	-0.000999333	1.342E-06
ABHD13	0.003303241	0.006487688	-0.006487688	0.010699228
ABHD17A	0.033569928	0.038021023	-0.038021023	3.97827E-54
ABHD17B	0.002328777	0.005392401	-0.005392401	8.02667E-10
ABHD17C	-0.001958691	0.000772132	-0.000772132	0.35600838
ABHD18	-0.039413654	-0.034464829	0.034464829	1.47648E-57
ABHD2	-0.022638823	-0.015702426	0.015702426	5.7677E-16
ABHD5	-0.005696183	-0.002797545	0.002797545	7.55549E-05
ABHD6	-0.009283552	-0.005768683	0.005768683	1.37122E-11
ABHD8	-0.001097676	0.003101787	-0.003101787	5.73139E-10
ABI1	-0.013218164	-0.006993008	0.006993008	5.43788E-05
