Gene	Symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000160072	ATAD3B	1342.6730472309127	-0.03753882004013738	0.05450489104905014	0.11697945879023508	0.5989199122938073
ENSG00000157911	PEX10	496.21604699836405	0.009246298171678819	0.04111352777768497	0.5937343510151118	0.923356021383179
ENSG00000269896	NA	116.9762377020531	0.006210026437383363	0.04419544236966509	0.408929516238609	0.8520806072077987
ENSG00000228463	NA	199.85363759709213	-0.0029737941544446477	0.044078823697720364	0.561984305527576	0.9115704857133524
ENSG00000142655	PEX14	391.26470259582567	-0.03299380013832974	0.05139566513004208	0.13220877682861756	0.6224883339654568
ENSG00000149527	PLCH2	400.6463455545817	-0.012814670036451767	0.042832295574049786	0.44054461491222907	0.8668098384760369
ENSG00000171621	SPSB1	155.01355912713626	0.003031919546948374	0.04263052668594101	0.7914868507528173	0.969144183969275
ENSG00000116786	PLEKHM2	1537.115288920497	-0.010963955819991529	0.036965352593116695	0.5868951166643384	0.9223482924241282
ENSG00000173614	NMNAT1	140.86971834459024	0.010224692425889468	0.04371339675838808	0.43357226824313244	0.86310387422847
ENSG00000204624	DISP3	483.9218271201229	-0.03675576656865543	0.05573777603526937	0.08713824828849662	0.5443991033141897
ENSG00000171729	TMEM51	271.0737872305326	-0.061734183559537456	0.08228300107303327	0.03862211880250796	0.4014660357751059
ENSG00000279457	WASH9P	239.42760545559292	-4.321657272843693e-4	0.041738196333562294	0.9739601947087191	0.997810934458674
ENSG00000037637	FBXO42	1125.9525825599137	-0.012891940145876754	0.038986529325402176	0.5310209489078118	0.9017452291090017
ENSG00000159423	ALDH4A1	396.51860549720607	-2.0230755323129022e-4	0.04013733108477966	0.9905416019114566	0.999574120253976
ENSG00000011021	CLCN6	1347.6733664547746	-0.013095389413705852	0.0380655383074052	0.5331547965751253	0.9027935630835869
ENSG00000157916	RER1	2017.3376305871313	-0.01526480635375099	0.03497806838847896	0.5012394239386808	0.8916115988288948
ENSG00000157881	PANK4	751.8319275556343	-0.007252197932245512	0.03739732761146823	0.722939559363047	0.9520543714936
ENSG00000048707	VPS13D	1245.6666994634327	0.015056124120659582	0.04232928146032784	0.40825419717452255	0.8515333534019726
ENSG00000184677	ZBTB40	2274.074008603102	0.03605745191187946	0.034517176405570026	0.14717009647455592	0.6448595640694389
ENSG00000131697	NPHP4	882.4179854320514	4.547593894978221e-4	0.03803181806784401	0.9796654150883187	0.9979370990400821
ENSG00000055070	SZRD1	4446.970402767982	0.01840249454942119	0.029194173145649004	0.414963018812927	0.8538089361979597
ENSG00000175087	PDIK1L	418.6109027412979	-0.017086880542031557	0.04179365866688836	0.3778919710314629	0.8368675143143544
ENSG00000157191	NECAP2	524.5419486531094	0.012606788507928391	0.04061628018219809	0.5137807927213357	0.8960432731118934
ENSG00000204138	PHACTR4	2010.0145893533581	0.01345741737194947	0.030958073187849478	0.5149888673504529	0.8965960790911996
ENSG00000130772	MED18	236.62625270118443	-0.005805985351407645	0.04075465729359573	0.7306108626267405	0.9534712918161159
ENSG00000090020	SLC9A1	797.2842176889757	-0.005888760289044138	0.03984366929195151	0.7498461393180312	0.9599200423786333
ENSG00000130770	ATP5IF1	1627.270188757467	-6.400492595440252e-4	0.03452954902356987	0.9676857170246237	0.9969757122375787
ENSG00000162512	SDC3	461.7937814493145	0.009398193837464291	0.04064053055507159	0.5993124725174139	0.9245396378529331
ENSG00000126698	DNAJC8	3638.8479002487843	0.029566582422327643	0.036313953542118194	0.19960407883466513	0.7015304418161473
ENSG00000130766	SESN2	711.870011747716	-0.45285325557805	0.07661137586445986	1.632679913546807e-10	1.0807598900446433e-7
ENSG00000168528	SERINC2	805.5784843418511	-0.040433086365130266	0.05625412586122092	0.0927080508475119	0.5573144238419911
ENSG00000084628	NKAIN1	2205.6124583507212	-0.01217403576153784	0.03593133914090513	0.6216932189581477	0.9312608874395706
ENSG00000060688	SNRNP40	1679.930144233458	-0.007343468944506353	0.031352937219925825	0.7420378220709778	0.9575361233992438
ENSG00000171612	SLC25A33	1267.9555902010204	0.007766134813688776	0.03282514028239888	0.7368052256344557	0.9559955898890395
ENSG00000116138	DNAJC16	605.9851935026005	-0.004803558749527092	0.042443044720297175	0.7109157480146757	0.9487780460353484
ENSG00000158161	EYA3	1106.8290853580272	-0.037495765717844465	0.043212489899426505	0.1469575984711806	0.6448595640694389
ENSG00000142684	ZNF593	412.51173434488214	-0.0016492399528018032	0.04076387572462311	0.9059320590978348	0.9857129714855138
ENSG00000121769	FABP3	36.62785996083837	-0.015247596603504504	0.04744702873497195	0.05807727197547349	0.4691799010195781
ENSG00000142627	EPHA2	310.2056152437077	0.009489598626582843	0.0422833050084732	0.5422390186236552	0.9075539395720367
ENSG00000142632	ARHGEF19	212.3894568966393	0.019642032222534092	0.04547243446517451	0.27414341675077253	0.767558211730851
ENSG00000189337	KAZN	704.5930451331628	0.0031243864916266325	0.03583712500141458	0.8630847874897194	0.9786734999776363
ENSG00000130939	UBE4B	1496.9910056558708	0.011838591416026058	0.03653019800491593	0.5673785943927395	0.914426405926063
ENSG00000060656	PTPRU	2134.739965794792	-0.08660431214869063	0.05071615554732338	0.010931179061286798	0.2098315954189876
