file	PRS_type	threshold	fold	Count	BETA	SE	P	r2_PRS	r2_full	AUC
input/fig3ab_prs/snp//fold0.SNP.0.00001.sscore	SNP	1e-5	0	30	7.065347930527779	4.60634737470525	0.12507179373157915	0.0188388	0.113372	0.5551681706316653
input/fig3ab_prs/snp//fold0.SNP.0.0001.sscore	SNP	1e-4	0	218	16.56643405076273	13.877558872008235	0.23257300818364446	0.0114501	0.106696	0.5407437790538693
input/fig3ab_prs/snp//fold0.SNP.0.001.sscore	SNP	0.001	0	1571.9885714285715	93.40512695017415	40.62320452932725	0.02148764055320853	0.0432776	0.135457	0.5935192780968007
input/fig3ab_prs/snp//fold0.SNP.0.01.sscore	SNP	0.01	0	11559.977142857142	69.64990073586969	140.54963501112812	0.620209280364487	0.00195735	0.0981175	0.534181022696199
input/fig3ab_prs/snp//fold0.SNP.0.05.sscore	SNP	0.05	0	43781.96571428572	186.87214936919074	314.68328482336165	0.552617798711871	0.00281201	0.0988898	0.5261143013398961
input/fig3ab_prs/snp//fold0.SNP.0.1.sscore	SNP	0.1	0	74633.95428571428	472.11104010636217	418.8261342141769	0.2596476143619238	0.0101753	0.105544	0.5471698113207547
input/fig3ab_prs/snp//fold1.SNP.0.00001.sscore	SNP	1e-5	1	28	0.09096413164910219	4.666134781195028	0.9844465959973251	3.02499e-6	0.0986508	0.4887886245556467
input/fig3ab_prs/snp//fold1.SNP.0.0001.sscore	SNP	1e-4	1	212	26.765975038970595	13.939655047709092	0.05484125253092973	0.0299213	0.125618	0.5843587640142193
input/fig3ab_prs/snp//fold1.SNP.0.001.sscore	SNP	0.001	1	1578	84.38952937817461	42.64229441389257	0.04781487428659562	0.0318736	0.127377	0.6000820344544708
input/fig3ab_prs/snp//fold1.SNP.0.01.sscore	SNP	0.01	1	11539.954285714286	357.65821602585015	141.06537812830481	0.011231659049066756	0.0531416	0.146547	0.6211375444353295
input/fig3ab_prs/snp//fold1.SNP.0.05.sscore	SNP	0.05	1	43723.92	964.8888472004273	309.9906469265989	0.0018542293749116302	0.0808348	0.171509	0.6298878862455565
input/fig3ab_prs/snp//fold1.SNP.0.1.sscore	SNP	0.1	1	74539.88571428572	1127.9148067103035	426.0325714609212	0.008109297735124527	0.0577629	0.150713	0.60062893081761
input/fig3ab_prs/snp//fold10.SNP.0.00001.sscore	SNP	1e-5	10	38	3.253649892449023	5.706655861426796	0.568575958842867	0.0026286	0.151842	0.5222860267979218
input/fig3ab_prs/snp//fold10.SNP.0.0001.sscore	SNP	1e-4	10	206	32.33675999852231	14.89440693393521	0.029926084675357182	0.0396752	0.183346	0.5926989335520919
input/fig3ab_prs/snp//fold10.SNP.0.001.sscore	SNP	0.001	10	1657.9885714285715	74.25359207644854	50.22507313340137	0.1392962504908131	0.0178181	0.164759	0.5549630844954881
input/fig3ab_prs/snp//fold10.SNP.0.01.sscore	SNP	0.01	10	11547.977142857142	417.56249394415835	149.56381653861519	0.005240466392653634	0.0659998	0.205732	0.6356302980585179
input/fig3ab_prs/snp//fold10.SNP.0.05.sscore	SNP	0.05	10	43411.897142857146	1179.152058785416	358.7602625933234	0.0010135401128682248	0.0930914	0.228771	0.6464315012305168
input/fig3ab_prs/snp//fold10.SNP.0.1.sscore	SNP	0.1	10	74493.89714285714	1680.6342636525167	500.478659614418	7.849333475009794e-4	0.0983446	0.233238	0.6539513262236806
input/fig3ab_prs/snp//fold11.SNP.0.00001.sscore	SNP	1e-5	11	32	6.29993030350426	5.224713192970818	0.22789674621700307	0.0116839	0.123804	0.5515449822258682
input/fig3ab_prs/snp//fold11.SNP.0.0001.sscore	SNP	1e-4	11	229.98857142857142	13.769339255832557	13.876129415058237	0.3210492339325789	0.0079065	0.120455	0.5373256767842494
input/fig3ab_prs/snp//fold11.SNP.0.001.sscore	SNP	0.001	11	1513.9885714285715	90.09842751196662	44.81209722302966	0.04436955269662959	0.0335199	0.143163	0.5736942849330052
input/fig3ab_prs/snp//fold11.SNP.0.01.sscore	SNP	0.01	11	11589.988571428572	496.14471333058356	165.87773718777083	0.0027804133264115586	0.077467	0.182124	0.6376811594202898
input/fig3ab_prs/snp//fold11.SNP.0.05.sscore	SNP	0.05	11	43641.98857142857	666.3923192017829	320.83231139168953	0.03779476814910986	0.0352921	0.144734	0.6050041017227236
input/fig3ab_prs/snp//fold11.SNP.0.1.sscore	SNP	0.1	11	74557.94285714286	994.6020883003165	443.5097059545826	0.02492447991679495	0.0411925	0.149965	0.6022696199070277
input/fig3ab_prs/snp//fold12.SNP.0.00001.sscore	SNP	1e-5	12	40	6.460362828872016	6.1855336317664555	0.2962860458578245	0.00914272	0.210661	0.5700483091787439
input/fig3ab_prs/snp//fold12.SNP.0.0001.sscore	SNP	1e-4	12	226	18.61211340167177	14.758597028630227	0.20727168100446122	0.0133471	0.21401	0.5653554175293306
input/fig3ab_prs/snp//fold12.SNP.0.001.sscore	SNP	0.001	12	1524	52.65492819232941	49.07905755013377	0.28333420503170187	0.00958782	0.211015	0.5391304347826087
input/fig3ab_prs/snp//fold12.SNP.0.01.sscore	SNP	0.01	12	11603.942528735632	299.0737952811162	160.28784533502636	0.06206172684025124	0.0293781	0.226781	0.5436853002070393
input/fig3ab_prs/snp//fold12.SNP.0.05.sscore	SNP	0.05	12	43719.88505747126	633.871293320199	352.9260511822022	0.07248725970874162	0.0272517	0.225087	0.5599723947550035
input/fig3ab_prs/snp//fold12.SNP.0.1.sscore	SNP	0.1	12	74585.86206896552	399.47774050901995	468.5829590467467	0.39392389024521784	0.00605378	0.2082	0.5442374051069703
input/fig3ab_prs/snp//fold13.SNP.0.00001.sscore	SNP	1e-5	13	34	5.066690016365525	5.0545138554383335	0.31614611269895276	0.00816683	0.12989	0.5361344537815126
input/fig3ab_prs/snp//fold13.SNP.0.0001.sscore	SNP	1e-4	13	232	32.08018866797156	15.762763050503466	0.04183194432951721	0.0340763	0.15262	0.5759103641456582
input/fig3ab_prs/snp//fold13.SNP.0.001.sscore	SNP	0.001	13	1543.9653179190752	94.1910494399451	48.398463755095655	0.051635783101984155	0.0312893	0.150175	0.580952380952381
input/fig3ab_prs/snp//fold13.SNP.0.01.sscore	SNP	0.01	13	11575.965317919075	505.83222373151807	161.33041934713225	0.0017163143638733631	0.0849378	0.19724	0.6302521008403361
input/fig3ab_prs/snp//fold13.SNP.0.05.sscore	SNP	0.05	13	43547.93063583815	1060.2870712265153	361.46937507387884	0.0033541267077815194	0.0744262	0.188018	0.6243697478991597
input/fig3ab_prs/snp//fold13.SNP.0.1.sscore	SNP	0.1	13	74571.90751445087	1260.0310051783592	470.0306112907193	0.007345903244955984	0.0611765	0.176394	0.615406162464986
input/fig3ab_prs/snp//fold14.SNP.0.00001.sscore	SNP	1e-5	14	26	19.125618069702956	5.694949567710462	7.841005141395323e-4	0.0978985	0.209244	0.6287940935192781
input/fig3ab_prs/snp//fold14.SNP.0.0001.sscore	SNP	1e-4	14	200	52.85015388383909	15.744378661526515	7.886056799084264e-4	0.0965202	0.208036	0.6542247744052502
input/fig3ab_prs/snp//fold14.SNP.0.001.sscore	SNP	0.001	14	1583.9771428571428	135.572662384088	47.525891047821865	0.004336228920163666	0.0691011	0.184001	0.6132075471698113
input/fig3ab_prs/snp//fold14.SNP.0.01.sscore	SNP	0.01	14	11627.977142857142	327.43964057860916	147.21740711376805	0.026135592383108933	0.0407948	0.159189	0.6122504785343178
input/fig3ab_prs/snp//fold14.SNP.0.05.sscore	SNP	0.05	14	43443.96571428572	404.3484395006982	311.9164157187979	0.1948597941992114	0.0136308	0.135377	0.5546896363139185
input/fig3ab_prs/snp//fold14.SNP.0.1.sscore	SNP	0.1	14	74763.93142857144	856.08796784387	459.5363891147463	0.062470938808627974	0.0283675	0.148295	0.5814875581077386
input/fig3ab_prs/snp//fold15.SNP.0.00001.sscore	SNP	1e-5	15	24	7.2301948560124885	4.368343952106649	0.09789730749925825	0.0217481	0.0971281	0.5867514356029532
input/fig3ab_prs/snp//fold15.SNP.0.0001.sscore	SNP	1e-4	15	202	57.69899007064883	16.64651968041935	5.280092344310199e-4	0.101337	0.170584	0.6568225321301614
input/fig3ab_prs/snp//fold15.SNP.0.001.sscore	SNP	0.001	15	1602	126.84901950383706	47.47265482899331	0.007539077649423328	0.0592494	0.13174	0.6103363412633306
input/fig3ab_prs/snp//fold15.SNP.0.01.sscore	SNP	0.01	15	11631.965714285714	247.14770817656336	133.6691928655357	0.06446497451091596	0.0275062	0.102443	0.577932731747334
