file	PRS_type	threshold	fold	Count	BETA	SE	P	r2_PRS	r2_full	AUC
input/fig3ab_prs/sv//fold0.SV.0.0001.sscore	SV	1e-4	0	3.9314285714285715	4.707480814653028	1.5678903605659904	0.002678336969906032	0.075102	0.164215	0.6152584085315834
input/fig3ab_prs/sv//fold0.SV.0.001.sscore	SV	0.001	0	37.885714285714286	15.076352970638862	6.937943159663135	0.029778120771136816	0.038852	0.131457	0.5958435876401422
input/fig3ab_prs/sv//fold0.SV.0.01.sscore	SV	0.01	0	201.38285714285715	36.969845323121916	18.187432866125995	0.042081448760683364	0.0336533	0.12676	0.594613070823079
input/fig3ab_prs/sv//fold0.SV.0.05.sscore	SV	0.05	0	741.0171428571429	85.2865531423417	43.07454508929789	0.047706257744198864	0.0314615	0.124779	0.5887339349193328
input/fig3ab_prs/sv//fold0.SV.0.1.sscore	SV	0.1	0	1328.662857142857	125.15050446079836	64.82843358797827	0.05354641715265181	0.0300334	0.123488	0.6028165162701669
input/fig3ab_prs/sv//fold1.SV.0.0001.sscore	SV	1e-4	1	9.851428571428572	10.203420926436841	3.0804126026226157	9.251397941006008e-4	0.0904421	0.180168	0.6656412359857807
input/fig3ab_prs/sv//fold1.SV.0.001.sscore	SV	0.001	1	31.805714285714284	26.326511952712565	8.135668030942247	0.0012124399674072557	0.0933173	0.18276	0.6144380639868745
input/fig3ab_prs/sv//fold1.SV.0.01.sscore	SV	0.01	1	177.66857142857143	69.68293096022312	21.062485599560798	9.383381214038124e-4	0.0929299	0.182411	0.6394585726004922
input/fig3ab_prs/sv//fold1.SV.0.05.sscore	SV	0.05	1	722.7085714285714	140.9646280395449	49.72999711461158	0.004588315824633873	0.0674866	0.159477	0.6404156412359858
input/fig3ab_prs/sv//fold1.SV.0.1.sscore	SV	0.1	1	1366.5028571428572	234.73157200528505	78.0610226576852	0.0026381667195816082	0.0751052	0.166344	0.6457478807765928
input/fig3ab_prs/sv//fold10.SV.0.0001.sscore	SV	1e-4	10	5.92	4.868326693340146	2.3110327950905742	0.03515583286428511	0.0362507	0.180434	0.5617309269893356
input/fig3ab_prs/sv//fold10.SV.0.001.sscore	SV	0.001	10	27.92	18.554630386054313	5.916284619824606	0.0017115455691178484	0.0853397	0.222179	0.5987147935466229
input/fig3ab_prs/sv//fold10.SV.0.01.sscore	SV	0.01	10	175.4742857142857	52.083904080589924	18.772605241632508	0.005529287417581346	0.0655295	0.205332	0.624829094886519
input/fig3ab_prs/sv//fold10.SV.0.05.sscore	SV	0.05	10	748.88	167.71410912086841	49.797911478042444	7.574459152259814e-4	0.0979827	0.23293	0.6561389116762374
input/fig3ab_prs/sv//fold10.SV.0.1.sscore	SV	0.1	10	1336.7428571428572	272.07338477730366	75.87496516320078	3.3603057225467157e-4	0.11302	0.245717	0.6549083948591742
input/fig3ab_prs/sv//fold11.SV.0.0001.sscore	SV	1e-4	11	11.874285714285714	3.413718973407507	3.1768530273532605	0.2825717988559763	0.00923589	0.121634	0.5380776592835658
input/fig3ab_prs/sv//fold11.SV.0.001.sscore	SV	0.001	11	27.86285714285714	5.837396752516659	5.735417154371008	0.30878219704143567	0.00828896	0.120794	0.5482636040470331
input/fig3ab_prs/sv//fold11.SV.0.01.sscore	SV	0.01	11	169.6	47.578861645548734	19.818665353251863	0.0163633132595824	0.0474093	0.155477	0.6045939294503692
input/fig3ab_prs/sv//fold11.SV.0.05.sscore	SV	0.05	11	726.9142857142857	159.47588209315379	51.77110453825369	0.0020672045813031783	0.0801819	0.184531	0.6145747880776593
input/fig3ab_prs/sv//fold11.SV.0.1.sscore	SV	0.1	11	1374.64	337.3209490169801	87.97745697811705	1.259865255903022e-4	0.131658	0.230167	0.6594202898550725
input/fig3ab_prs/sv//fold12.SV.0.0001.sscore	SV	1e-4	12	9.908045977011493	4.951826652331205	3.1006037872706043	0.11025403218799645	0.0212793	0.220329	0.5662525879917185
input/fig3ab_prs/sv//fold12.SV.0.001.sscore	SV	0.001	12	31.908045977011493	5.646100190175097	6.62432737471971	0.394032028679666	0.0060142	0.208168	0.5307798481711525
input/fig3ab_prs/sv//fold12.SV.0.01.sscore	SV	0.01	12	197.7816091954023	7.788387850491656	20.559384802807912	0.7048185833916895	0.00119149	0.204326	0.5036576949620428
input/fig3ab_prs/sv//fold12.SV.0.05.sscore	SV	0.05	12	723.0344827586207	99.30072838460553	51.34783811754402	0.05312747363938678	0.0320692	0.228924	0.5554175293305729
input/fig3ab_prs/sv//fold12.SV.0.1.sscore	SV	0.1	12	1330.6896551724137	171.44636546065112	76.79495621171081	0.025580537675018493	0.0428493	0.237512	0.5671497584541063
input/fig3ab_prs/sv//fold13.SV.0.0001.sscore	SV	1e-4	13	9.976878612716764	6.6641182654939595	3.098237451348151	0.03148105295506299	0.0379844	0.156049	0.5743697478991596
input/fig3ab_prs/sv//fold13.SV.0.001.sscore	SV	0.001	13	31.953757225433527	14.605356971566893	6.791126720797946	0.03150359964906002	0.0382236	0.156258	0.6007002801120448
input/fig3ab_prs/sv//fold13.SV.0.01.sscore	SV	0.01	13	183.56069364161849	56.896311779159575	19.695996006225513	0.0038680745686415245	0.0708876	0.184914	0.6436974789915966
input/fig3ab_prs/sv//fold13.SV.0.05.sscore	SV	0.05	13	748.693641618497	165.20313625637834	50.435936990925285	0.0010547345118273527	0.0931329	0.204429	0.6663865546218487
input/fig3ab_prs/sv//fold13.SV.0.1.sscore	SV	0.1	13	1372.5664739884394	170.2809961001746	70.9977376666596	0.016466858100683743	0.0484207	0.165204	0.6175070028011205
input/fig3ab_prs/sv//fold14.SV.0.0001.sscore	SV	1e-4	14	7.885714285714286	4.886973275672614	2.29801594971435	0.03345287810630875	0.0373067	0.156131	0.5790948865190046
input/fig3ab_prs/sv//fold14.SV.0.001.sscore	SV	0.001	14	41.85142857142857	18.563981445891116	7.714128785031854	0.016106601157622587	0.0483414	0.165804	0.6129340989882417
input/fig3ab_prs/sv//fold14.SV.0.01.sscore	SV	0.01	14	193.56571428571428	16.459399583770185	20.363274786992374	0.4189245564439391	0.00526617	0.128045	0.5557834290401968
input/fig3ab_prs/sv//fold14.SV.0.05.sscore	SV	0.05	14	761.0057142857142	60.846007429837194	48.15853284516715	0.2064266910786444	0.0129483	0.134779	0.5720535958435876
input/fig3ab_prs/sv//fold14.SV.0.1.sscore	SV	0.1	14	1342.662857142857	112.77752524321683	73.32943548697276	0.12405910680233725	0.0193997	0.140434	0.5765654908394859
input/fig3ab_prs/sv//fold15.SV.0.0001.sscore	SV	1e-4	15	7.942857142857143	5.793154250670295	2.481426548877676	0.019563992997334738	0.044048	0.11771	0.6017910855892808
input/fig3ab_prs/sv//fold15.SV.0.001.sscore	SV	0.001	15	27.942857142857143	13.564006229667813	6.224697388642156	0.02932700675134604	0.0386115	0.112692	0.5809406617445994
input/fig3ab_prs/sv//fold15.SV.0.01.sscore	SV	0.01	15	201.68	44.59809750818159	21.08452285564373	0.034412441244232504	0.036726	0.110952	0.5803937653814603
input/fig3ab_prs/sv//fold15.SV.0.05.sscore	SV	0.05	15	794.72	23.651339109242443	51.63102753235242	0.6468922118527595	0.00166119	0.078589	0.506699480448455
input/fig3ab_prs/sv//fold15.SV.0.1.sscore	SV	0.1	15	1458.4	19.84652691242219	72.11938034077482	0.7831703264679791	5.99027e-4	0.0776087	0.5031446540880503
input/fig3ab_prs/sv//fold16.SV.0.0001.sscore	SV	1e-4	16	9.873563218390805	7.707554272042293	3.1257315917326367	0.013669234308807222	0.0494107	0.121643	0.5964113181504486
input/fig3ab_prs/sv//fold16.SV.0.001.sscore	SV	0.001	16	33.87356321839081	14.092962812954058	6.40979345519225	0.02790203685557541	0.0395736	0.112554	0.5970324361628709
input/fig3ab_prs/sv//fold16.SV.0.01.sscore	SV	0.01	16	205.51724137931035	41.194031315753335	21.517402605410474	0.05556244532761275	0.0296676	0.1034	0.5899240855762595
input/fig3ab_prs/sv//fold16.SV.0.05.sscore	SV	0.05	16	768.9310344827586	118.89962477331244	50.28433719179051	0.018052188843725	0.0459663	0.118461	0.6019323671497585
input/fig3ab_prs/sv//fold16.SV.0.1.sscore	SV	0.1	16	1390.5977011494253	101.62336823823748	74.16836777510996	0.17063343777092144	0.0150591	0.0899018	0.5663216011042098
input/fig3ab_prs/sv//fold17.SV.0.0001.sscore	SV	1e-4	17	9.953757225433526	2.789326333081559	2.847701810894938	0.32733257078101136	0.0081336	0.233219	0.57093837535014
input/fig3ab_prs/sv//fold17.SV.0.001.sscore	SV	0.001	17	39.94219653179191	6.312755640714594	7.083967569865554	0.3728579465973328	0.00672229	0.232128	0.5322128851540616
input/fig3ab_prs/sv//fold17.SV.0.01.sscore	SV	0.01	17	197.38728323699422	22.0890730487387	20.795362388553563	0.28813968087423936	0.00961365	0.234364	0.5435574229691876
input/fig3ab_prs/sv//fold17.SV.0.05.sscore	SV	0.05	17	760.8554913294797	58.60531423278584	51.07163717975349	0.2511700950044422	0.0112076	0.235596	0.5603641456582633
input/fig3ab_prs/sv//fold17.SV.0.1.sscore	SV	0.1	17	1326.670520231214	107.49766244903742	72.5081681113472	0.13819152456173925	0.0187961	0.241462	0.5864145658263306
input/fig3ab_prs/sv//fold18.SV.0.0001.sscore	SV	1e-4	18	7.883040935672515	7.0433411389185725	2.489576580170428	0.004667442197109897	0.0667312	0.157021	0.6227755453501721
input/fig3ab_prs/sv//fold18.SV.0.001.sscore	SV	0.001	18	39.88304093567251	26.348462624292985	8.224402316436107	0.001356769249825761	0.0891079	0.177233	0.6510476463834672
input/fig3ab_prs/sv//fold18.SV.0.01.sscore	SV	0.01	18	157.82456140350877	69.27332525595266	21.027933338435957	9.86503639256964e-4	0.0948766	0.182444	0.6720723306544202
input/fig3ab_prs/sv//fold18.SV.0.05.sscore	SV	0.05	18	716.9239766081871	168.33638790466512	50.236675729938014	8.055916290075985e-4	0.0962483	0.183683	0.6725028702640643
input/fig3ab_prs/sv//fold18.SV.0.1.sscore	SV	0.1	18	1352.6198830409357	207.9855620615346	76.7311839263288	0.006716683281406776	0.0621632	0.152895	0.653272101033295
input/fig3ab_prs/sv//fold19.SV.0.0001.sscore	SV	1e-4	19	7.907514450867052	5.28059425879144	2.503290843845975	0.034904814056709324	0.037722	0.147638	0.5938375350140056
input/fig3ab_prs/sv//fold19.SV.0.001.sscore	SV	0.001	19	35.907514450867055	9.700408235725398	6.3614856186561894	0.12729271570578235	0.0192207	0.13125	0.5813725490196079
input/fig3ab_prs/sv//fold19.SV.0.01.sscore	SV	0.01	19	195.66473988439307	32.65642355789357	19.334895708165195	0.09122156384506838	0.0235577	0.135092	0.5995798319327731
input/fig3ab_prs/sv//fold19.SV.0.05.sscore	SV	0.05	19	734.9942196531792	92.108027658093	45.82002072517929	0.04440858928621744	0.0333326	0.14375	0.6126050420168068
input/fig3ab_prs/sv//fold19.SV.0.1.sscore	SV	0.1	19	1352.4624277456646	127.75314170405471	68.79007968556364	0.06329054984667544	0.0281303	0.139142	0.6078431372549019
input/fig3ab_prs/sv//fold2.SV.0.0001.sscore	SV	1e-4	2	7.965317919075145	4.673297549288627	2.503805560446875	0.06197454410790165	0.0292653	0.215413	0.5764705882352941
input/fig3ab_prs/sv//fold2.SV.0.001.sscore	SV	0.001	2	35.94219653179191	10.473187114719586	7.494797636299124	0.1622950475838939	0.0163704	0.20499	0.5794117647058824
input/fig3ab_prs/sv//fold2.SV.0.01.sscore	SV	0.01	2	187.58381502890174	26.469620501222153	21.723142025706487	0.22303451528557008	0.0125369	0.201892	0.55
